NS-T0,NS-T14,ME-T0,ME-T14,NH-T0,NH-T14,FIELD-T0,FIELD-T14,MA-T0,MA-T14,SC-T0,SC-T14,FL-T0,FL-T14
,g__Sedonavirus,g__Tequatrovirus,g__Phayoncevirus,g__unclassified Viruses genus,g__Fishburnevirus,g__Pandoravirus,g__Makelovirus,g__Avanivirus,g__Fromanvirus,,g__unclassified Kyanoviridae genus,g__Dhillonvirus,g__Betaentomopoxvirus
,g__Sedonavirus,g__Tequatrovirus,g__Tequintavirus,g__unclassified Viruses genus,g__Cheoctovirus,g__Tequatrovirus,g__Makelovirus,g__Cheoctovirus,g__Eiauvirus,,g__unclassified Kyanoviridae genus,g__Dhillonvirus,g__Betaentomopoxvirus
,g__Acionnavirus,g__Tequatrovirus,g__Epseptimavirus,g__unclassified Viruses genus,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Shandvirus,g__Siovirus,g__Brussowvirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Abouovirus
,g__Acionnavirus,g__Epseptimavirus,g__Senquatrovirus,g__unclassified Viruses genus,g__unclassified Caudoviricetes genus,g__Peduovirus,g__Shandvirus,g__Biquartavirus,g__Gamaleyavirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Yuavirus
,g__Cheoctovirus,g__Tequintavirus,g__Senquatrovirus,g__unclassified Viruses genus,g__unclassified Caudoviricetes genus,g__Mosigvirus,g__Tequintavirus,g__Cheoctovirus,g__Firingavirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Yokohamavirus
,g__Kostyavirus,g__Tequatrovirus,g__Mosigvirus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Eiauvirus,g__Tequintavirus,g__Cheoctovirus,g__unclassified Marseilleviridae genus,,g__Oryzopoxvirus,g__Dhillonvirus,g__Bixzunavirus
,g__Pandoravirus,g__Tequatrovirus,g__Tequatrovirus,g__Chlorovirus,g__unclassified Caudoviricetes genus,g__Kuttervirus,g__Orthopoxvirus,g__Cheoctovirus,g__Johnsonvirus,,g__Cheoctovirus,g__Dhillonvirus,g__Cheoctovirus
,g__Pandoravirus,g__Epseptimavirus,g__Tequatrovirus,g__Casadabanvirus,g__Saclayvirus,g__Kuttervirus,g__Orthopoxvirus,g__Ishigurovirus,g__Fishburnevirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Microwolfvirus
,g__Pandoravirus,g__Tequatrovirus,g__Tequatrovirus,g__unclassified Viruses genus,g__Nereusvirus,g__unclassified Marseilleviridae genus,g__Aorunvirus,g__Anayavirus,g__Fishburnevirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Bixzunavirus
,g__Pandoravirus,g__Cheoctovirus,g__Tequatrovirus,g__Marseillevirus,g__Nereusvirus,g__Agricanvirus,g__Pomeroyivirus,g__Cheoctovirus,g__Fromanvirus,,g__Justusliebigvirus,g__Dhillonvirus,g__Bixzunavirus
,g__Pandoravirus,g__unclassified Iridoviridae genus,g__Jiaodavirus,g__Marseillevirus,g__Nereusvirus,g__Mosigvirus,g__Epseptimavirus,g__Cheoctovirus,g__Fromanvirus,,g__Miltoncavirus,g__Dhillonvirus,g__Helsingorvirus
,g__Pandoravirus,g__unclassified Iridoviridae genus,g__Mosigvirus,g__Tequintavirus,g__Nereusvirus,g__Tequatrovirus,g__Epseptimavirus,g__Cheoctovirus,g__Kostyavirus,,g__unclassified Marseilleviridae genus,g__Dhillonvirus,g__Cebadecemvirus
,g__Tequatrovirus,g__Decapodiridovirus,g__Tequintavirus,g__Obolenskvirus,g__Nereusvirus,g__Charlievirus,g__Epseptimavirus,g__Cheoctovirus,g__Cheoctovirus,,g__unclassified Kyanoviridae genus,g__Dhillonvirus,g__Helsingorvirus
,g__Fromanvirus,g__Decapodiridovirus,g__Prasinovirus,g__Fishburnevirus,g__Nereusvirus,g__Trigintaduovirus,g__Epseptimavirus,g__Cheoctovirus,g__Fromanvirus,,g__Kostyavirus,g__Dhillonvirus,g__Igirivirus
,g__Kostyavirus,g__Epseptimavirus,g__Pseudotevenvirus,g__Klausavirus,g__Lowelvirus,g__Gelderlandvirus,g__Epseptimavirus,g__Cheoctovirus,g__Otagovirus,,g__Kostyavirus,g__Dhillonvirus,g__Baikalvirus
,g__Kostyavirus,g__Fishburnevirus,g__Slopekvirus,g__Tequintavirus,g__Lowelvirus,g__Tequintavirus,g__Tequintavirus,g__Cheoctovirus,g__Fromanvirus,,g__Kostyavirus,g__Dhillonvirus,g__Cheoctovirus
,g__Kostyavirus,g__Lavrentievavirus,g__Slopekvirus,g__unclassified Phycodnaviridae genus,g__Lowelvirus,g__Kuttervirus,g__Epseptimavirus,g__Tequintavirus,g__Kratosvirus,,g__Kostyavirus,g__Dhillonvirus,g__Omegavirus
,g__Kostyavirus,g__Eneladusvirus,g__Salmonpoxvirus,g__unclassified Phycodnaviridae genus,g__Lowelvirus,g__unclassified Caudoviricetes genus,g__Epseptimavirus,g__Epseptimavirus,g__Kratosvirus,,g__Cheoctovirus,g__Dhillonvirus,g__Bixzunavirus
,g__Kostyavirus,g__Tequatrovirus,g__Salmonpoxvirus,g__Webervirus,g__Chalconvirus,g__Karamvirus,g__Epseptimavirus,g__Tequintavirus,g__Baltimorevirus,,g__Cheoctovirus,g__Dhillonvirus,g__Sedonavirus
,g__Mosigvirus,g__Tequatrovirus,g__Salmonpoxvirus,g__Fishburnevirus,g__Chalconvirus,g__Karamvirus,g__Wellingtonvirus,g__Tequintavirus,g__Baltimorevirus,,g__Cheoctovirus,g__Dhillonvirus,g__Sedonavirus
,g__Eiauvirus,g__Tequatrovirus,g__Slopekvirus,g__Epseptimavirus,g__Chalconvirus,g__Kuttervirus,g__Tamkungvirus,g__Tequintavirus,g__Limestonevirus,,g__Cheoctovirus,g__Dhillonvirus,g__Sedonavirus
,g__Eiauvirus,g__Tequintavirus,g__Fishburnevirus,g__Epseptimavirus,g__Chalconvirus,g__Limestonevirus,g__Tamkungvirus,g__Tequintavirus,g__Saclayvirus,,g__Thaumasvirus,g__Dhillonvirus,g__Acionnavirus
,g__Jiaoyazivirus,g__Kuttervirus,g__Jiaodavirus,g__Seodaemunguvirus,g__Atlauavirus,g__Nereusvirus,g__Tequintavirus,g__Tequintavirus,g__Nereusvirus,,g__Gamaleyavirus,g__Dhillonvirus,g__Acionnavirus
,g__unclassified Marseilleviridae genus,g__Avipoxvirus,g__Pseudotevenvirus,g__Cheoctovirus,g__Atlauavirus,g__Nereusvirus,g__Epseptimavirus,g__Moineauvirus,g__Nereusvirus,,g__Charlievirus,g__Dhillonvirus,g__Cheoctovirus
,g__Kostyavirus,g__Avipoxvirus,g__Tequatrovirus,g__Trinavirus,g__Atlauavirus,g__Nereusvirus,g__Epseptimavirus,g__Mudcatvirus,g__Nereusvirus,,g__Centapoxvirus,g__Dhillonvirus,g__Cheoctovirus
,g__Mosigvirus,g__Tequatrovirus,g__Tequatrovirus,g__Phabquatrovirus,g__Atlauavirus,g__Nereusvirus,g__Tequintavirus,g__Mudcatvirus,g__Nereusvirus,,g__Fishburnevirus,g__Dhillonvirus,g__Faithunavirus
,g__Tequatrovirus,g__Tequatrovirus,g__Tequatrovirus,g__unclassified Iridoviridae genus,g__Macariavirus,g__Nereusvirus,g__Orthopoxvirus,g__Attisvirus,g__Nereusvirus,,g__Fishburnevirus,g__Dhillonvirus,g__Pandoravirus
,g__Cheoctovirus,g__Fernvirus,g__Tequatrovirus,g__Decapodiridovirus,g__Macariavirus,g__Nereusvirus,g__Epseptimavirus,g__Attisvirus,g__Nereusvirus,,g__Namakavirus,g__Dhillonvirus,g__Pandoravirus
,g__Yushanvirus,g__Fernvirus,g__Tequatrovirus,g__Epseptimavirus,g__Chalconvirus,g__Lowelvirus,g__Epseptimavirus,g__Moineauvirus,g__Lowelvirus,,g__Namakavirus,g__Dhillonvirus,g__Pandoravirus
,g__Tequintavirus,g__Prasinovirus,g__Marseillevirus,g__Fishburnevirus,g__Chalconvirus,g__Lowelvirus,g__Leucotheavirus,g__Moineauvirus,g__Lowelvirus,,g__Namakavirus,g__Dhillonvirus,g__Pandoravirus
,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Tequintavirus,g__Charlievirus,g__Potamoivirus,g__Lowelvirus,g__Leucotheavirus,g__Brussowvirus,g__Lowelvirus,,g__Galenevirus,g__Dhillonvirus,g__Fromanvirus
,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__unclassified Caudoviricetes genus,g__Eneladusvirus,g__Potamoivirus,g__Lowelvirus,g__Goslarvirus,g__Moineauvirus,g__Lowelvirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Microwolfvirus
,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Carettavirus,g__Sugarlandvirus,g__Potamoivirus,g__Chalconvirus,g__Epseptimavirus,g__Nymphadoravirus,g__Chalconvirus,,g__Megavirus,g__Dhillonvirus,g__Kostyavirus
,g__unclassified Caudoviricetes genus,g__Pandoravirus,g__unclassified Caudoviricetes genus,g__Cinqassovirus,g__Potamoivirus,g__Chalconvirus,g__Epseptimavirus,g__Trinifflemingvirus,g__Chalconvirus,,g__unclassified Caudoviricetes genus,g__Dhillonvirus,g__Fukuivirus
,g__unclassified Caudoviricetes genus,g__Pandoravirus,g__Bippervirus,g__Avipoxvirus,g__Diegovirus,g__Chalconvirus,g__Tequintavirus,g__Trinifflemingvirus,g__Chalconvirus,,g__Jerseyvirus,g__Dhillonvirus,g__Junavirus
,g__unclassified Caudoviricetes genus,g__Pandoravirus,g__Marseillevirus,g__Avipoxvirus,g__unclassified Caudoviricetes genus,g__Chalconvirus,g__Qadamvirus,g__Nymphadoravirus,g__Chalconvirus,,g__Jerseyvirus,g__Betabaculovirus,g__Diegovirus
,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Epseptimavirus,g__Avipoxvirus,g__unclassified Caudoviricetes genus,g__Atlauavirus,g__Epseptimavirus,g__Nymphadoravirus,g__Atlauavirus,,g__Uetakevirus,g__Kagunavirus,g__unclassified Marseilleviridae genus
,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Epseptimavirus,g__Prasinovirus,g__Cheoctovirus,g__Atlauavirus,g__Vapseptimavirus,g__Mudcatvirus,g__Atlauavirus,,g__Popoffvirus,g__unclassified Caudoviricetes genus,g__Eagleeyevirus
,g__unclassified Caudoviricetes genus,g__Agtrevirus,g__Piorkowskivirus,g__Pikminvirus,g__Sparkyvirus,g__Macariavirus,g__Tequintavirus,g__Sidiousvirus,g__Atlauavirus,,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Metforvirus
,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Piorkowskivirus,g__Vidquintavirus,g__Sparkyvirus,g__Macariavirus,g__Epseptimavirus,g__Nymphadoravirus,g__Macariavirus,,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Waukeshavirus
,g__Karamvirus,g__Tequatrovirus,g__Piorkowskivirus,g__Pandoravirus,g__Squirtyvirus,g__Chalconvirus,g__Tequintavirus,g__Powerballvirus,g__Macariavirus,,g__Kilunavirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus
,g__Rigallicvirus,g__Tequintavirus,g__Piorkowskivirus,g__Pandoravirus,g__Squirtyvirus,g__Chalconvirus,g__Epseptimavirus,g__Baxterfoxvirus,g__Chalconvirus,,g__Becedseptimavirus,g__Alphabaculovirus,g__Oslovirus
,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Sokavirus,g__Pandoravirus,g__Cheoctovirus,g__Potamoivirus,g__Epseptimavirus,g__Nymphadoravirus,g__Chalconvirus,,g__Aurunvirus,g__Alphabaculovirus,g__Fromanvirus
,g__Kochitakasuvirus,g__Tequatrovirus,g__Sokavirus,g__Pandoravirus,g__Haifavirus,g__Potamoivirus,g__Epseptimavirus,g__Nymphadoravirus,g__Potamoivirus,,g__Aurunvirus,g__Alphabaculovirus,g__Otagovirus
,g__Nonagvirus,g__Tequatrovirus,g__Sokavirus,g__Pandoravirus,g__Haifavirus,g__Potamoivirus,g__Epseptimavirus,g__Attisvirus,g__Potamoivirus,,g__Lambdavirus,g__Alphabaculovirus,g__unclassified Caudoviricetes genus
,g__Marvinvirus,g__Epseptimavirus,g__Cymopoleiavirus,g__Riverridervirus,g__Haifavirus,g__Potamoivirus,g__Salvovirus,g__Nymphadoravirus,g__Potamoivirus,,g__Marienburgvirus,g__Moumouvirus,g__unclassified Caudoviricetes genus
,g__Kratosvirus,g__Epseptimavirus,g__Cymopoleiavirus,g__Moomoovirus,g__Haifavirus,g__Tequatrovirus,g__Bosavirus,g__Attisvirus,g__Potamoivirus,,g__Jerseyvirus,g__Moumouvirus,g__Efquatrovirus
,g__Nereusvirus,g__Epseptimavirus,g__Cymopoleiavirus,g__Kelquatrovirus,g__Abidjanvirus,g__Tequatrovirus,g__Hollowayvirus,g__Attisvirus,g__Fromanvirus,,g__unclassified Caudoviricetes genus,g__Theiavirus,g__Gaiavirus
,g__Nereusvirus,g__Epseptimavirus,g__Plaisancevirus,g__Cheoctovirus,g__Cheoctovirus,g__Rogunavirus,g__Tequintavirus,g__Nymphadoravirus,g__unclassified Caudoviricetes genus,,g__unclassified Caudoviricetes genus,g__Oceanusvirus,g__Gaiavirus
,g__Nereusvirus,g__Epseptimavirus,g__Tequatrovirus,g__Cheoctovirus,g__Charlievirus,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Arsenicumvirus,g__unclassified Caudoviricetes genus,,g__Fromanvirus,g__Moumouvirus,g__Nereusvirus
,g__Nereusvirus,g__Tequintavirus,g__Charlievirus,g__Thetabobvirus,g__Klausavirus,g__Mosigvirus,g__Privateervirus,g__Libingvirus,g__unclassified Caudoviricetes genus,,g__Cornellvirus,g__Moumouvirus,g__Nereusvirus
,g__Nereusvirus,g__Epseptimavirus,g__Charlievirus,g__Cheoctovirus,g__Gaprivervirus,g__Mosigvirus,g__Privateervirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,,g__Jerseyvirus,g__Moumouvirus,g__Nereusvirus
,g__Nereusvirus,g__Epseptimavirus,g__Betterkatzvirus,g__Terapinvirus,g__Fishburnevirus,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Nanhuvirus,g__unclassified Caudoviricetes genus,,g__Ithacavirus,g__Moumouvirus,g__Nereusvirus
,g__Lowelvirus,g__Epseptimavirus,g__Jujuvirus,g__Aorunvirus,g__Chenonavirus,g__unclassified Caudoviricetes genus,g__Epseptimavirus,g__Cheoctovirus,g__Cheoctovirus,,g__Ithacavirus,g__Moumouvirus,g__Nereusvirus
,g__Lowelvirus,g__Jiaodavirus,g__Baxterfoxvirus,g__Pomeroyivirus,g__Xuanwuvirus,g__unclassified Caudoviricetes genus,g__Epseptimavirus,g__Jerseyvirus,g__Sparkyvirus,,g__Nipunavirus,g__Moumouvirus,g__Nereusvirus
,g__Lowelvirus,g__Mosigvirus,g__Marseillevirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__Sparkyvirus,g__Epseptimavirus,g__Betabaculovirus,g__Squirtyvirus,,g__Nipunavirus,g__Moumouvirus,g__Lowelvirus
,g__Lowelvirus,g__Fernvirus,g__Tequatrovirus,g__Epseptimavirus,g__Baylorvirus,g__Squirtyvirus,g__Epseptimavirus,g__Kagunavirus,g__Microwolfvirus,,g__Abidjanvirus,g__Tupanvirus,g__Lowelvirus
,g__Chalconvirus,g__Fernvirus,g__Tequatrovirus,g__Epseptimavirus,g__Baylorvirus,g__Avunavirus,g__Epseptimavirus,g__Kagunavirus,g__Skunavirus,,g__Pamexvirus,g__Tupanvirus,g__Lowelvirus
,g__Chalconvirus,g__Lidleunavirus,g__Bowservirus,g__Epseptimavirus,g__Baylorvirus,g__Pseudotevenvirus,g__Tequintavirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,,g__Pamexvirus,g__Tupanvirus,g__Lowelvirus
,g__Chalconvirus,g__Cheoctovirus,g__Jiaodavirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__Pseudotevenvirus,g__Epseptimavirus,g__Hollowayvirus,g__Gofduovirus,,g__unclassified Caudoviricetes genus,g__Tupanvirus,g__Chalconvirus
,g__Chalconvirus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__Pseudotevenvirus,g__Epseptimavirus,g__Hollowayvirus,g__Seuratvirus,,g__Siovirus,g__Alphabaculovirus,g__Chalconvirus
,g__Atlauavirus,g__Cheoctovirus,g__Slopekvirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Wadgaonvirus,g__unclassified Caudoviricetes genus,g__Omegavirus,,g__Cheoctovirus,g__Megavirus,g__Chalconvirus
,g__Atlauavirus,g__Cheoctovirus,g__unclassified Viruses genus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Oliverunavirus,g__unclassified Caudoviricetes genus,g__Haifavirus,,g__Yuavirus,g__Megavirus,g__Chalconvirus
,g__Atlauavirus,g__Tequatrovirus,g__unclassified Viruses genus,g__Cheoctovirus,g__Prasinovirus,g__Mosigvirus,g__Ashivirus,g__unclassified Caudoviricetes genus,g__Haifavirus,,g__Yuavirus,g__Alphabaculovirus,g__Atlauavirus
,g__Macariavirus,g__Tequintavirus,g__Tequatrovirus,g__Cheoctovirus,g__Prasinovirus,g__Jilinvirus,g__Atlauavirus,g__unclassified Caudoviricetes genus,g__Haifavirus,,g__Picardvirus,g__Alphabaculovirus,g__Atlauavirus
,g__Macariavirus,g__Jiaodavirus,g__Tequatrovirus,g__Shizishanvirus,g__Jesfedecavirus,g__Haifavirus,g__Atlauavirus,g__Alphabaculovirus,g__Haifavirus,,g__Jerseyvirus,g__Betabaculovirus,g__Macariavirus
,g__Chalconvirus,g__Epseptimavirus,g__Tequatrovirus,g__Webervirus,g__Libanvirus,g__Haifavirus,g__Atlauavirus,g__Alphabaculovirus,g__Haifavirus,,g__Jerseyvirus,g__Alphabaculovirus,g__Macariavirus
,g__Chalconvirus,g__Tequatrovirus,g__Tequintavirus,g__Cheoctovirus,g__Punavirus,g__Haifavirus,g__Atlauavirus,g__Betabaculovirus,g__Abidjanvirus,,g__Jerseyvirus,g__Alphabaculovirus,g__Chalconvirus
,g__Potamoivirus,g__Mosigvirus,g__Mosigvirus,g__Cheoctovirus,g__Abidjanvirus,g__Haifavirus,g__Atlauavirus,g__Alphabaculovirus,g__Abidjanvirus,,g__unclassified Caudoviricetes genus,g__Alphabaculovirus,g__Chalconvirus
,g__Potamoivirus,g__Epseptimavirus,g__Pseudotevenvirus,g__Cheoctovirus,g__Citrovirus,g__Tequatrovirus,g__Atlauavirus,g__Alphabaculovirus,g__Fromanvirus,,g__unclassified Caudoviricetes genus,g__Alphabaculovirus,g__Potamoivirus
,g__Potamoivirus,g__Tequintavirus,g__Tequatrovirus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Atlauavirus,g__Moumouvirus,g__unclassified Casjensviridae genus,,g__Traversvirus,g__Alphabaculovirus,g__Potamoivirus
,g__Potamoivirus,g__Tequatrovirus,g__Pseudotevenvirus,g__Charlievirus,g__unclassified Caudoviricetes genus,g__Nezavisimistyvirus,g__Atlauavirus,g__Oceanusvirus,g__Samistivirus,,g__Traversvirus,g__Dhillonvirus,g__Potamoivirus
,g__Tequatrovirus,g__Tequatrovirus,g__Slopekvirus,g__Kratiovirus,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Atlauavirus,g__Moumouvirus,g__Klausavirus,,g__Pankowvirus,g__Tequintavirus,g__Potamoivirus
,g__unclassified Caudoviricetes genus,g__Mosigvirus,g__Alisovirus,g__Cheoctovirus,g__Skunavirus,g__Dhakavirus,g__Brizovirus,g__Tupanvirus,g__Fishburnevirus,,g__Pankowvirus,,g__Diegovirus
,g__Mosigvirus,g__Epseptimavirus,g__Alisovirus,g__Cheoctovirus,g__Emdodecavirus,g__Chenonavirus,g__Brizovirus,g__Tupanvirus,g__Fishburnevirus,,g__Phapecoctavirus,,g__unclassified Caudoviricetes genus
,g__Mosigvirus,g__Epseptimavirus,g__Alisovirus,g__Cheoctovirus,g__Emdodecavirus,g__Tequintavirus,g__Brizovirus,g__Alphabaculovirus,g__Prasinovirus,,g__Gamaleyavirus,,g__Waukeshavirus
,g__unclassified Caudoviricetes genus,g__Ceetrepovirus,g__Alisovirus,g__Cheoctovirus,g__Senquatrovirus,g__Prasinovirus,g__Brizovirus,g__Megavirus,g__Libanvirus,,g__Gamaleyavirus,,g__unclassified Caudoviricetes genus
,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Charybdisvirus,g__Cheoctovirus,g__Senquatrovirus,g__Tegunavirus,g__Brizovirus,g__Alphabaculovirus,g__Libanvirus,,g__Moumouvirus,,g__unclassified Caudoviricetes genus
,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Charybdisvirus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Jesfedecavirus,g__Brizovirus,g__Alphabaculovirus,g__Libanvirus,,g__Moumouvirus,,g__unclassified Caudoviricetes genus
,g__Cheoctovirus,g__Tequatrovirus,g__Charybdisvirus,g__Cheoctovirus,g__Prasinovirus,g__Libanvirus,g__Immutovirus,g__Fadolivirus,g__Lilyvirus,,g__unclassified Autographiviridae genus,,g__unclassified Caudoviricetes genus
,g__Sparkyvirus,g__Tequatrovirus,g__Potamoivirus,g__Cheoctovirus,g__Xiamenvirus,g__Punavirus,g__Glaedevirus,g__Betabaculovirus,g__Punavirus,,g__unclassified Autographiviridae genus,,g__Sparkyvirus
,g__Squirtyvirus,g__Epseptimavirus,g__Potamoivirus,g__Cheoctovirus,g__Megalocytivirus,g__Punavirus,g__Tequintavirus,g__Alphabaculovirus,g__Pandoravirus,,g__Bristolvirus,,g__Omegavirus
,g__Squirtyvirus,g__Epseptimavirus,g__Potamoivirus,g__Webervirus,g__Cheoctovirus,g__Pandoravirus,g__Tequintavirus,g__Alphabaculovirus,g__Pandoravirus,,g__Bristolvirus,,g__Dhillonvirus
,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Kanaloavirus,g__Cheoctovirus,g__Cheoctovirus,g__Kanagawavirus,g__Naesvirus,g__Alphabaculovirus,g__Seuratvirus,,g__Vellamovirus,,g__Microwolfvirus
,g__Avunavirus,g__Tequatrovirus,g__Kanaloavirus,g__Klausavirus,g__Fishburnevirus,g__Bragavirus,g__Ryyoungvirus,g__unclassified Caudoviricetes genus,g__Abidjanvirus,,g__Vellamovirus,,g__Microwolfvirus
,g__Pseudotevenvirus,g__Tequatrovirus,g__Kanaloavirus,g__Cheoctovirus,g__Fishburnevirus,g__Bragavirus,g__Rauchvirus,g__unclassified Caudoviricetes genus,g__Zicotriavirus,,g__Hiroshimavirus,,g__Cheoctovirus
,g__Skunavirus,g__Tequatrovirus,g__Pseudotevenvirus,g__Epseptimavirus,g__Cheoctovirus,g__Skunavirus,g__Epseptimavirus,g__Tequintavirus,g__Citrovirus,,g__Hiroshimavirus,,g__Arsyunavirus
,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Jujuvirus,g__Epseptimavirus,g__Cheoctovirus,g__Skunavirus,g__Tequintavirus,,g__Aptresvirus,,g__unclassified Caudoviricetes genus,,g__Gofduovirus
,g__Cheoctovirus,g__Dagavirus,g__Karamvirus,g__Bridgettevirus,g__Marthavirus,g__Skunavirus,g__Tiamatvirus,,g__unclassified Caudoviricetes genus,,g__unclassified Kyanoviridae genus,,g__Gofduovirus
,g__Gofduovirus,g__Vimunumvirus,g__Tortellinivirus,g__Bridgettevirus,g__Yuavirus,g__Skunavirus,g__Ishigurovirus,,g__unclassified Caudoviricetes genus,,g__Betaentomopoxvirus,,g__Haifavirus
,g__Mosigvirus,g__Agtrevirus,g__Tequatrovirus,g__Cheoctovirus,g__Marseillevirus,g__Rockvillevirus,g__Hollowayvirus,,g__unclassified Caudoviricetes genus,,g__Betaentomopoxvirus,,g__Haifavirus
,g__Haifavirus,g__Epseptimavirus,g__Galateavirus,g__Epseptimavirus,g__Phitrevirus,g__Phayoncevirus,g__Tequintavirus,,g__Tinduovirus,,g__Betaentomopoxvirus,,g__Haifavirus
,g__Haifavirus,g__Tequatrovirus,g__Sashavirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Epseptimavirus,,g__Tinduovirus,,g__Betaentomopoxvirus,,g__Haifavirus
,g__Haifavirus,g__Cheoctovirus,g__Chlorovirus,g__Cheoctovirus,g__Marthavirus,g__Epseptimavirus,g__Tequintavirus,,g__Tinduovirus,,g__Yuavirus,,g__Haifavirus
,g__Haifavirus,g__Tequintavirus,g__Tequintavirus,g__Cheoctovirus,g__Klausavirus,g__Senquatrovirus,g__Tequintavirus,,g__Skunavirus,,g__Yuavirus,,g__Charlievirus
,g__Haifavirus,g__Carltongylesvirus,g__unclassified Viruses genus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Senquatrovirus,g__Tequintavirus,,g__Rockvillevirus,,g__Yokohamavirus,,g__Klausavirus
,g__Haifavirus,g__Tequatrovirus,g__Tequatrovirus,g__Coventryvirus,g__unclassified Ackermannviridae genus,g__Mosigvirus,g__Tequintavirus,,g__Vhulanivirus,,g__Kostyavirus,,g__Dhillonvirus
,g__Abidjanvirus,g__Tequatrovirus,g__Marseillevirus,g__Wizardvirus,g__Marthavirus,g__Tequatrovirus,g__Tequintavirus,,g__Vhulanivirus,,g__Fishburnevirus,,g__Chenonavirus
,g__Abidjanvirus,g__Cheoctovirus,g__Eneladusvirus,g__Goslarvirus,g__Marseillevirus,g__Tequatrovirus,g__unclassified Caudoviricetes genus,,g__Gamtrevirus,,g__Fishburnevirus,,g__unclassified Caudoviricetes genus
,g__Tequatrovirus,g__Epseptimavirus,g__Rosemountvirus,g__Kenoshavirus,g__Sokavirus,g__Tequatrovirus,g__Zhoulongquanvirus,,g__Fromanvirus,,g__Cheoctovirus,,g__unclassified Caudoviricetes genus
,g__Tequintavirus,g__Tequintavirus,g__Nanhaivirus,g__Kenoshavirus,g__Sokavirus,g__Tequatrovirus,g__Zhoulongquanvirus,,g__Kostyavirus,,g__Fromanvirus,,g__Prasinovirus
,g__Chenonavirus,g__Kuttervirus,g__Tequintavirus,g__Epseptimavirus,g__Sokavirus,g__Tequatrovirus,g__Zhoulongquanvirus,,g__Brunovirus,,g__Kostyavirus,,g__Prasinovirus
,g__unclassified Caudoviricetes genus,g__Epseptimavirus,g__Lokivirus,g__Epseptimavirus,g__Cymopoleiavirus,g__Tequatrovirus,g__Privateervirus,,g__Senquatrovirus,,g__Cheoctovirus,,g__Jesfedecavirus
,g__Tequintavirus,g__Brujitavirus,g__Mosigvirus,g__Dagavirus,g__Cymopoleiavirus,g__Shandongvirus,g__Privateervirus,,g__Senquatrovirus,,g__Kostyavirus,,g__Libanvirus
,g__Prasinovirus,g__Epseptimavirus,g__Krischvirus,g__Dagavirus,g__Plaisancevirus,g__Tequatrovirus,g__Serangoonvirus,,g__Kuttervirus,,g__Kostyavirus,,g__Lilyvirus
,g__Prasinovirus,g__Epseptimavirus,g__Shandvirus,g__Vimunumvirus,g__Cheoctovirus,g__Tequatrovirus,g__Serangoonvirus,,g__Kuttervirus,,g__Cellubavirus,,g__Punavirus
,g__Libanvirus,g__Epseptimavirus,g__Shandvirus,g__Vimunumvirus,g__Charlievirus,g__Jiaodavirus,g__Serangoonvirus,,g__Titanvirus,,g__Baltivirus,,g__Punavirus
